canonical_smiles,molecule_chembl_id,standard_units,standard_value,units,value
C[n+]1ccc2c3ccccc3n(CCCCCCCCCn3c4ccccc4c4cc[n+](C)cc43)c2c1,CHEMBL1198953,nM,1000.0,uM,1.0
CN1CCc2c(n(CCCCCCCCCn3c4c(c5ccccc53)CCN(C)C4)c3ccccc23)C1,CHEMBL1087459,nM,150000.0,uM,150.0
c1ccc2c(c1)c1cnccc1n2CCCCCCn1c2ccccc2c2cnccc21,CHEMBL3605353,nM,7100.0,uM,7.1
c1ccc2c(c1)c1cnccc1n2CCCCCCCn1c2ccccc2c2cnccc21,CHEMBL3605354,nM,1600.0,uM,1.6
c1ccc2c(c1)c1cnccc1n2CCCCCCCCn1c2ccccc2c2cnccc21,CHEMBL3605355,nM,14200.0,uM,14.2
c1ccc2c(c1)c1cnccc1n2CCCCCCCCCn1c2ccccc2c2cnccc21,CHEMBL3605356,nM,3900.0,uM,3.9
COc1ccc2c(c1)c1cnccc1n2CCCCCCCCCn1c2ccncc2c2cc(OC)ccc21,CHEMBL3605357,nM,360.0,uM,0.36
C[n+]1ccc2c(c1)c1ccccc1n2CCCCCCn1c2ccccc2c2c[n+](C)ccc21.[I-].[I-],CHEMBL3605358,nM,97.0,uM,0.097
C[n+]1ccc2c(c1)c1ccccc1n2CCCCCCCn1c2ccccc2c2c[n+](C)ccc21.[I-].[I-],CHEMBL3605359,nM,51.0,uM,0.051
C[n+]1ccc2c(c1)c1ccccc1n2CCCCCCCCn1c2ccccc2c2c[n+](C)ccc21.[I-].[I-],CHEMBL3605360,nM,66.0,uM,0.066
C[n+]1ccc2c(c1)c1ccccc1n2CCCCCCCCCn1c2ccccc2c2c[n+](C)ccc21.[I-].[I-],CHEMBL3605361,nM,60.0,uM,0.06
COc1ccc2c(c1)c1c[n+](C)ccc1n2CCCCCCCCCn1c2ccc(OC)cc2c2c[n+](C)ccc21.[I-].[I-],CHEMBL3605362,nM,5100.0,uM,5.1
CC[n+]1ccc2c(c1)c1ccccc1n2CCCCCCCCCn1c2ccccc2c2c[n+](CC)ccc21.[I-].[I-],CHEMBL3605363,nM,2900.0,uM,2.9
OCC[n+]1ccc2c(c1)c1ccccc1n2CCCCCCCCCn1c2ccccc2c2c[n+](CCO)ccc21.[I-].[I-],CHEMBL3605364,nM,23100.0,uM,23.1
CCC[n+]1ccc2c(c1)c1ccccc1n2CCCCCCCCCn1c2ccccc2c2c[n+](CCC)ccc21.[I-].[I-],CHEMBL3605365,nM,20800.0,uM,20.8
CN1CCc2c(c3ccccc3n2CCCCCCn2c3c(c4ccccc42)CN(C)CC3)C1,CHEMBL3605366,nM,320.0,uM,0.32
CN1CCc2c(c3ccccc3n2CCCCCCCn2c3c(c4ccccc42)CN(C)CC3)C1,CHEMBL3605367,nM,650.0,uM,0.65
CN1CCc2c(c3ccccc3n2CCCCCCCCn2c3c(c4ccccc42)CN(C)CC3)C1,CHEMBL3605368,nM,690.0,uM,0.69
CN1CCc2c(c3ccccc3n2CCCCCCCCCn2c3c(c4ccccc42)CN(C)CC3)C1,CHEMBL3605369,nM,3900.0,uM,3.9
COc1ccc2c(c1)c1c(n2CCCCCCCCCn2c3c(c4cc(OC)ccc42)CN(C)CC3)CCN(C)C1,CHEMBL3605370,nM,9800.0,uM,9.8
Nc1c2c(nc3ccccc13)CCCC2,CHEMBL95,,,,
CC12CC3CC(C)(C1)CC(N)(C3)C2,CHEMBL807,,,,
C#CCN(C)CCCOc1ccc(Cl)cc1Cl,CHEMBL8706,nM,54300.0,uM,54.3
C#CCN(C)[C@H](C)Cc1ccccc1,CHEMBL972,nM,270.0,uM,0.27
C#CCN(C)CCCOc1ccc(Cl)cc1Cl,CHEMBL8706,nM,1000.0,uM,1.0
C#CCN(C)[C@H](C)Cc1ccccc1,CHEMBL972,nM,9.0,uM,0.009
C[C@H](NCc1ccc(OCc2cccc(F)c2)cc1)C(N)=O,CHEMBL396778,nM,112.0,uM,0.112
COc1ccc(OC(=O)/C=C/c2ccccc2Cl)cc1,CHEMBL3613276,nM,937.0,uM,0.937
COc1ccc(OC(=O)/C=C/c2ccccc2C(F)(F)F)cc1,CHEMBL3613275,nM,2590.0,uM,2.59
O=C(/C=C/c1ccccc1C(F)(F)F)Oc1ccccc1,CHEMBL3613274,nM,5880.0,uM,5.88
O=C(/C=C/c1ccc(C(F)(F)F)cc1)Nc1ccc(F)cc1,CHEMBL3613273,nM,223.0,uM,0.223
O=C(/C=C/c1ccc(C(F)(F)F)cc1)Nc1ccccc1F,CHEMBL3613272,nM,580.0,uM,0.58
O=C(/C=C/c1ccc(C(F)(F)F)cc1)Nc1cccc(F)c1,CHEMBL3613271,nM,283.0,uM,0.283
O=C(/C=C/c1cccc(C(F)(F)F)c1)Nc1cccc(F)c1,CHEMBL3613270,nM,4890.0,uM,4.89
O=C(/C=C/c1ccccc1C(F)(F)F)Nc1cccc(F)c1,CHEMBL3613269,nM,3370.0,uM,3.37
O=C(/C=C/c1ccccc1Cl)Nc1cccc(O)c1,CHEMBL1328072,nM,5210.0,uM,5.21
O=C(/C=C/c1ccccc1C(F)(F)F)Nc1cccc(O)c1,CHEMBL3613268,nM,5980.0,uM,5.98
O=C(/C=C/c1ccccc1Cl)Nc1ccc(O)cc1,CHEMBL3613267,nM,10000.0,uM,10.0
O=C(/C=C/c1ccccc1C(F)(F)F)Nc1ccc(O)cc1,CHEMBL3613266,nM,10000.0,uM,10.0
COc1ccc(NC(=O)/C=C/c2ccccc2Cl)cc1,CHEMBL585432,nM,10000.0,uM,10.0
COc1ccc(NC(=O)/C=C/c2ccccc2C(F)(F)F)cc1,CHEMBL3613265,nM,10000.0,uM,10.0
O=C(/C=C/c1ccccc1Cl)Nc1ccccc1,CHEMBL1599895,nM,2820.0,uM,2.82
O=C(/C=C/c1ccccc1C(F)(F)F)Nc1ccccc1,CHEMBL3613264,nM,8390.0,uM,8.39
COc1ccccc1/C=C/C(=O)c1ccc(O)cc1,CHEMBL3260398,nM,624.0,uM,0.624
O=C(/C=C/c1ccccc1C(F)(F)F)c1ccc(O)cc1,CHEMBL3613158,nM,57.0,uM,0.057
O=C(/C=C/c1ccccc1)c1ccc(O)cc1,CHEMBL276473,nM,182.0,uM,0.182
COc1ccc(/C=C/C(=O)c2ccc(OC)cc2)cc1,CHEMBL138314,nM,10000.0,uM,10.0
COc1ccc(C(=O)/C=C/c2cccc(OC)c2)cc1,CHEMBL3613068,nM,1396.0,uM,1.396
COc1ccc(C(=O)/C=C/c2ccccc2OC)cc1,CHEMBL2236844,nM,419.0,uM,0.419
COc1ccc(C(=O)/C=C/c2ccccc2Cl)cc1,CHEMBL2013137,nM,69.0,uM,0.069
COc1ccc(C(=O)/C=C/c2ccccc2F)cc1,CHEMBL595846,nM,56.0,uM,0.056
COc1ccc(C(=O)/C=C/c2ccc(C(F)(F)F)cc2)cc1,CHEMBL423911,nM,199.0,uM,0.199
COc1ccc(C(=O)/C=C/c2cccc(C(F)(F)F)c2)cc1,CHEMBL1802004,nM,145.0,uM,0.145
COc1ccc(C(=O)/C=C/c2ccccc2C(F)(F)F)cc1,CHEMBL1339821,nM,16.0,uM,0.016
COc1ccc(C(=O)/C=C/c2ccccc2)cc1,CHEMBL34398,nM,471.0,uM,0.471
COc1cccc(C(=O)/C=C/c2ccccc2C(F)(F)F)c1,CHEMBL1801963,nM,2118.0,uM,2.118
COc1cccc(C(=O)/C=C/c2ccccc2)c1,CHEMBL1801958,nM,793.0,uM,0.793
COc1ccccc1C(=O)/C=C/c1ccccc1C(F)(F)F,CHEMBL1801962,nM,253.0,uM,0.253
COc1ccccc1C(=O)/C=C/c1ccccc1,CHEMBL287154,nM,10000.0,uM,10.0
Nc1nnc(NCc2c(Cl)cccc2Oc2ccccc2)[nH]1,CHEMBL3621615,nM,100000.0,uM,100.0
N[C@@H]1C[C@H]1c1ccccc1.N[C@H]1C[C@@H]1c1ccccc1,CHEMBL3989843,nM,5800.0,uM,5.8
COc1ccccc1CNc1n[nH]c(NCc2ccccc2OC)n1,CHEMBL1605826,nM,100000.0,uM,100.0
N[C@@H]1C[C@H]1c1ccc(OCC[C@H](NC(=O)c2ccccc2)C(=O)NCc2ccccc2)cc1,CHEMBL1215658,nM,1000000.0,uM,1000.0
NC1CC1c1cccc(OCC[C@H](NC(=O)c2ccccc2)C(=O)NCc2ccccc2)c1,CHEMBL1797639,nM,500000.0,uM,500.0
N[C@@H]1C[C@H]1c1ccccc1.N[C@H]1C[C@@H]1c1ccccc1,CHEMBL3989843,nM,4300.0,uM,4.3
COc1ccc(/C=C/c2cc(OC)cc(OC)c2/C=C/C(=O)c2cc3c(OC)cccc3oc2=O)cc1,CHEMBL3629470,nM,14500.0,uM,14.5
COc1ccc(/C=C/c2cc(OC)cc(OC)c2/C=C/C(=O)c2cc3cccc(C)c3oc2=O)cc1,CHEMBL3629471,nM,20010.0,uM,20.01
COc1ccc(/C=C/c2cc(OC)cc(OC)c2/C=C/C(=O)c2cc3ccc(C)cc3oc2=O)cc1,CHEMBL3629472,nM,2780.0,uM,2.78
COc1ccc(/C=C/c2cc(OC)cc(OC)c2/C=C/C(=O)c2cc3cc(C)ccc3oc2=O)cc1,CHEMBL3629473,nM,5090.0,uM,5.09
COc1ccc(/C=C/c2cc(OC)cc(OC)c2/C=C/C(=O)c2cc3ccc(Cl)cc3oc2=O)cc1,CHEMBL3629475,nM,7360.0,uM,7.36
COc1ccc(/C=C/c2cc(OC)cc(OC)c2/C=C/C(=O)c2cc3cc(F)ccc3oc2=O)cc1,CHEMBL3629474,nM,10160.0,uM,10.16
COc1ccc(/C=C/c2cc(OC)cc(OC)c2/C=C/C(=O)c2cc3ccccc3oc2=O)cc1,CHEMBL3629466,nM,9170.0,uM,9.17
COc1ccc(/C=C/c2cc(OC)cc(OC)c2/C=C/C(=O)c2cc3cccc(OC)c3oc2=O)cc1,CHEMBL3629467,nM,22350.0,uM,22.35
COc1ccc(/C=C/c2cc(OC)cc(OC)c2/C=C/C(=O)c2cc3ccc(OC)cc3oc2=O)cc1,CHEMBL3629468,nM,4200.0,uM,4.2
COc1ccc(/C=C/c2cc(OC)cc(OC)c2/C=C/C(=O)c2cc3cc(OC)ccc3oc2=O)cc1,CHEMBL3629469,nM,60000.0,uM,60.0
