canonical_smiles,molecule_chembl_id,standard_units,standard_value,units,value
CCOC(=O)c1c(C)nc2cccc(F)c2c1N,CHEMBL107931,nM,2600.0,nM,2600.0
Nc1c2c(nc3ccccc13)CCCC2,CHEMBL95,nM,50.0,nM,50.0
C[N+](C)(C)CCCCCBr.[Br-],CHEMBL150123,nM,534000.0,M,0.000534
CCOCC[N+](C)(C)C.[I-],CHEMBL148369,nM,1160000.0,M,0.00116
CC(=O)CCC[N+](C)(C)C.[I-],CHEMBL150001,nM,84800.0,M,0.0000848
C[N+](C)(C)CCCl.[Cl-],CHEMBL118539,nM,2390000.0,M,0.00239
C[N+]1(C)CCO[C@@](O)(c2ccc(C#N)cc2)C1.[Br-],CHEMBL342564,nM,11600000.0,M,0.0116
C[N+]1(C)CCO[C@H](O)C1.[Cl-],CHEMBL148907,nM,1760000.0,M,0.00176
CCCC(=O)SCC[N+](C)(C)C.[I-],CHEMBL148530,nM,126000.0,M,0.000126
C=CC[N+](C)(C)C.[Br-],CHEMBL356328,nM,2920000.0,M,0.00292
C[N+]1(C)CCO[C@@](O)(c2ccc(N)cc2)C1.[Br-],CHEMBL148939,nM,691000.0,M,0.000691
C[N+](C)(C)CCO.[I-],CHEMBL293410,nM,3010000.0,M,0.00301
C[N+](C)(C)CCCBr.[Br-],CHEMBL145957,nM,87900.0,M,0.0000879
CCSCC[N+](C)(C)C.[I-],CHEMBL150104,nM,1510000.0,M,0.00151
C[N+](C)(C)CCCCI.[I-],CHEMBL148531,nM,471000.0,M,0.000471
CC(C)(C)[C@@]1(O)C[N+](C)(C)CCO1.[Br-],CHEMBL145973,nM,3710000.0,M,0.00371
C[N+]1(C)CCO[C@@](O)(C(F)(F)F)C1.[Br-],CHEMBL356969,nM,3830000.0,M,0.00383
CCCC(=O)OCC[N+](C)(C)C.[I-],CHEMBL147380,nM,229000.0,M,0.000229
C[N+]1(C)CCO[C@@](O)(c2ccc([N+](=O)[O-])cc2)C1.[Br-],CHEMBL439814,nM,5120000.0,M,0.00512
C[N+](C)(C)CCCCBr.[Br-],CHEMBL357451,nM,597000.0,M,0.000597
C[C@@]1(O)C[N+](C)(C)CCO1.[Br-],CHEMBL146674,nM,1730000.0,M,0.00173
C[N+]1(C)CCO[C@@](O)(c2ccc(Cl)cc2)C1.[Br-],CHEMBL146205,nM,8130000.0,M,0.00813
CCCCCC[N+](C)(C)C.[I-],CHEMBL150054,nM,816000.0,M,0.000816
C=CCC[N+](C)(C)C.[Br-],CHEMBL146494,nM,848000.0,M,0.000848
Br.C=CCCCN(C)C,CHEMBL148522,nM,1130000.0,M,0.00113
CC(=O)Nc1ccc([C@@]2(O)C[N+](C)(C)CCO2)cc1.[Br-],CHEMBL356982,nM,2070000.0,M,0.00207
CC(=O)Nc1cccc([N+](C)(C)C)c1.[Br-],CHEMBL342537,nM,1000000.0,M,0.001
Br.C[N+](C)(C)c1cccc(N)c1.[Br-],CHEMBL147334,nM,192000.0,M,0.000192
C[N+](C)(C)c1cccc([N+](=O)[O-])c1.[I-],CHEMBL148484,nM,628000.0,M,0.000628
C[N+](C)(C)CCS.[I-],CHEMBL147699,nM,440000.0,M,0.00044
CN(C)c1ccc(CC(=O)NCCCCCCCCNC23CC4CC(CC(C4)C2)C3)cc1,CHEMBL357551,nM,10000.0,uM,10.0
CNC(=O)Oc1ccc2c(c1)[C@]1(C)CCN(C)[C@@H]1N2C,CHEMBL94,nM,46.0,uM,0.046
COc1cc2c(cc1OC)C(=O)C(CC1CCN(Cc3ccccc3)CC1)C2,CHEMBL502,nM,12.0,uM,0.012
CN(C)c1ccc(CC(=O)NCCCCCCCCCCNC23CC4CC(CC(C4)C2)C3)cc1,CHEMBL153934,nM,5300.0,uM,5.3
CN(C)c1ccc(CC(=O)NCCCCCCCCCCCCNC23CC4CC(CC(C4)C2)C3)cc1,CHEMBL157336,nM,3300.0,uM,3.3
CCc1cccc(NC(=O)Oc2ccc3c(c2)[C@]2(C)CC[N+](C)([O-])[C@@H]2N3C)c1.Cl,CHEMBL539873,nM,9800.0,uM,9.8
Cc1cccc(NC(=O)Oc2ccc3c(c2)[C@]2(C)CC[N+](C)([O-])[C@@H]2N3C)c1.Cl,CHEMBL538602,nM,5130.0,uM,5.13
CCCc1ccccc1NC(=O)Oc1ccc2c(c1)[C@]1(C)CC[N+](C)([O-])[C@@H]1N2C.Cl,CHEMBL539875,nM,8440.0,uM,8.44
CNC(=O)Oc1ccc2c(c1)[C@]1(C)CC[N+](C)([O-])[C@@H]1N2C.Cl,CHEMBL539874,nM,1740.0,uM,1.74
CN1c2ccc(OC(=O)Nc3ccccc3)cc2[C@]2(C)CC[N+](C)([O-])[C@H]12.Cl,CHEMBL541663,nM,4740.0,uM,4.74
Cc1ccccc1NC(=O)Oc1ccc2c(c1)[C@]1(C)CC[N+](C)([O-])[C@@H]1N2C.Cl,CHEMBL539623,nM,4040.0,uM,4.04
CCc1ccccc1NC(=O)Oc1ccc2c(c1)[C@]1(C)CC[N+](C)([O-])[C@@H]1N2C.Cl,CHEMBL539624,nM,5120.0,uM,5.12
