canonical_smiles,molecule_chembl_id,standard_units,standard_value,units,value
COc1c(O)c(O)cc2c1-c1ccc(SC)c(=O)cc1[C@@H](NC(C)=O)CC2,CHEMBL301851,nM,4000.0,uM,4.0
CSc1ccc2c(cc1=O)[C@@H](NC(=O)c1ccccc1[N+](=O)[O-])CCc1cc(O)c(O)c(O)c1-2,CHEMBL445096,nM,40000.0,uM,40.0
CSc1ccc2c(cc1=O)[C@@H](NC(=O)C13CC4CC(CC(C4)C1)C3)CCc1cc(O)c(O)c(O)c1-2,CHEMBL58428,nM,40000.0,uM,40.0
COc1cc2c(c(O)c1OC)-c1ccc(SC)c(=O)cc1[C@@H](NC(C)=O)CC2,CHEMBL291722,nM,4000.0,uM,4.0
COc1cc2c(c(OC)c1O)-c1ccc(SC)c(=O)cc1[C@@H](NC(C)=O)CC2,CHEMBL277239,nM,2000.0,uM,2.0
CSc1ccc2c(cc1=O)[C@@H](NC(=O)c1ccc([N+](=O)[O-])cc1)CCc1cc(OC(C)=O)c(OC(C)=O)c(OC(C)=O)c1-2,CHEMBL292980,nM,40000.0,uM,40.0
CSc1ccc2c(cc1=O)[C@@H](NC(C)=O)CCc1cc(O)c(O)c(O)c1-2,CHEMBL61609,nM,40000.0,uM,40.0
Br.CSc1ccc2c(cc1=O)[C@@H](N)CCc1cc(O)c(O)c(O)c1-2,CHEMBL558424,nM,40000.0,uM,40.0
CSc1ccc2c(cc1=O)[C@@H](NC(=O)C13CCC(C)(C(=O)O1)C3(C)C)CCc1cc(O)c(O)c(O)c1-2,CHEMBL293561,nM,40000.0,uM,40.0
COc1cc2c(c(OC)c1OC)-c1ccc(SC)c(=O)cc1[C@@H](NC(C)=O)CC2,CHEMBL18981,nM,650.0,uM,0.65
COc1cc2c(c(O)c1O)-c1ccc(SC)c(=O)cc1[C@@H](NC(C)=O)CC2,CHEMBL61573,nM,4000.0,uM,4.0
Br.CSc1ccc2c(cc1=O)[C@@H](NC(=O)c1ccc(N)cc1)CCc1cc(O)c(O)c(O)c1-2,CHEMBL553116,nM,40000.0,uM,40.0
CSc1ccc2c(cc1=O)[C@@H](NC(=O)c1ccc([N+](=O)[O-])cc1)CCc1cc(O)c(O)c(O)c1-2,CHEMBL293815,nM,40000.0,uM,40.0
CSc1ccc2c(cc1=O)[C@@H](NC(=O)c1ccc([N+](=O)[O-])cc1)CCc1cc(OC(=O)C(C)C)c(OC(=O)C(C)C)c(OC(=O)C(C)C)c1-2,CHEMBL433835,nM,40000.0,uM,40.0
CSc1ccc2c(cc1=O)[C@@H](NC(=O)c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1)CCc1cc(O)c(O)c(O)c1-2,CHEMBL58440,nM,40000.0,uM,40.0
CCC(=O)Oc1cc2c(c(OC(=O)CC)c1OC(=O)CC)-c1ccc(SC)c(=O)cc1[C@@H](NC(=O)c1ccc([N+](=O)[O-])cc1)CC2,CHEMBL294836,nM,40000.0,uM,40.0
COc1c(O)cc2c(c1OC)-c1ccc(SC)c(=O)cc1[C@@H](NC(C)=O)CC2,CHEMBL277998,nM,2000.0,uM,2.0
CSc1ccc2c(cc1=O)[C@@H](NC(=O)c1ccc(NC(=O)C34CCC(C)(C(=O)O3)C4(C)C)cc1)CCc1cc(O)c(O)c(O)c1-2,CHEMBL292398,nM,40000.0,uM,40.0
CSc1ccc2c(cc1=O)[C@@H](NC(=O)c1ccc(N)cc1)CCc1cc(O)c(O)c(O)c1-2,CHEMBL58503,nM,40000.0,uM,40.0
CCCCCC(=O)N[C@H]1CCc2cc(O)c(O)c(O)c2-c2ccc(SC)c(=O)cc21,CHEMBL61707,nM,40000.0,uM,40.0
COc1cc([C@@H]2c3cc4c(cc3[C@H](O)[C@H]3COC(=O)[C@H]23)OCO4)cc(OC)c1OC,CHEMBL61,nM,1000.0,uM,1.0
COC(=O)Oc1cc2c(c(OC(=O)OC)c1OC(=O)OC)-c1ccc(SC)c(=O)cc1[C@@H](NC(=O)c1ccc([N+](=O)[O-])cc1)CC2,CHEMBL59083,nM,40000.0,uM,40.0
CSc1ccc2c(cc1=O)[C@@H](NC(=O)c1ccc(Cl)cc1)CCc1cc(O)c(O)c(O)c1-2,CHEMBL300164,nM,40000.0,uM,40.0
CSc1ccc2c(cc1=O)[C@@H](NC(=O)c1ccc(F)cc1)CCc1cc(O)c(O)c(O)c1-2,CHEMBL61082,nM,40000.0,uM,40.0
Oc1nc(/C=C/c2ccccc2)nc2cc(Cl)ccc12,CHEMBL49326,nM,17000.0,uM,17.0
Oc1nc(/C=C/c2ccccn2)nc2ccc(Cl)cc12,CHEMBL46301,nM,40000.0,uM,40.0
CN1CCN(C(Cc2nc(O)c3cc(Cl)ccc3n2)c2ccccc2)CC1,CHEMBL50607,nM,5300.0,uM,5.3
Nc1ccc2nc(/C=C/c3ccccc3)nc(O)c2c1,CHEMBL298228,nM,40000.0,uM,40.0
Cc1nc(/C=C/c2ccccc2)nc(O)c1C,CHEMBL45988,nM,40000.0,uM,40.0
C/C=C/c1nc(O)c2cc(Cl)ccc2n1,CHEMBL49208,nM,40000.0,uM,40.0
COc1ccc2nc(CC(c3ccccc3)N3CCCCC3)nc(O)c2c1,CHEMBL49911,nM,14000.0,uM,14.0
Nn1c(/C=C/c2ccccc2)nc2ccc(Cl)cc2c1=O,CHEMBL46226,nM,40000.0,uM,40.0
C=CCC(NC(=O)[C@@]1(O)[C@H](O)[C@]2(CC)C=CCN3CC[C@@]4(c5cc([C@@]6(C(=O)OC)C[C@@H]7CN(CCc8c6[nH]c6ccccc86)C[C@](O)(CC)C7)c(OC)cc5N(C)[C@@H]14)[C@@H]32)P(=O)(OCC)OCC,CHEMBL2369078,nM,300.0,uM,0.3
Oc1nc(CCc2ccccc2)nc2ccc(Cl)cc12,CHEMBL48267,nM,7300.0,uM,7.3
